slate_date,slate_label,selection,matchup,game_time,market,recommended_side,recommendation,expected_count,reference_line,line_gap,probability_over,model_probability,confidence,projection_note,status,generated_at
2026-06-10,"June 10, 2026",Peter Lambert,Houston Astros at Los Angeles Angels,9:38 PM ET,pitcher_strikeouts,Under,Under 5.5 K,4.861945730684067,5.5,-0.6380542693159326,0.35983092212170104,0.6401690778782989,39.9,Probable starter · model vs reference 5.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Andre Pallante,St. Louis Cardinals at New York Mets,7:10 PM ET,pitcher_strikeouts,Under,Under 4.5 K,3.9334967537043863,4.5,-0.5665032462956137,0.35817295135826754,0.6418270486417325,39,Probable starter · model vs reference 4.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Aaron Judge,New York Yankees at Cleveland Guardians,1:10 PM ET,batter_total_bases,Over,Over 1.5 TB,2.021227592642257,1.5,0.5212275926422572,0.5997093441881879,0.5997093441881879,37.9,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Vinnie Pasquantino,Texas Rangers at Kansas City Royals,7:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.9957326681560177,1.5,0.4957326681560177,0.592837876928549,0.592837876928549,35.6,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Matt Olson,Atlanta Braves at Chicago White Sox,7:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.9777598707014912,1.5,0.4777598707014912,0.5879409332907588,0.5879409332907588,34,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Framber Valdez,Minnesota Twins at Detroit Tigers,6:40 PM ET,pitcher_strikeouts,Over,Over 4.5 K,5.248672536055299,4.5,0.7486725360552988,0.602005787088643,0.602005787088643,33.6,Probable starter · model vs reference 4.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Freddie Freeman,Los Angeles Dodgers at Pittsburgh Pirates,6:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.9691167916418182,1.5,0.4691167916418182,0.5855704404431992,0.5855704404431992,33.2,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Casey Schmitt,Washington Nationals at San Francisco Giants,3:45 PM ET,batter_total_bases,Over,Over 1.5 TB,1.9689495506183912,1.5,0.46894955061839116,0.5855244724432543,0.5855244724432543,33.2,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Robbie Ray,Washington Nationals at San Francisco Giants,3:45 PM ET,pitcher_strikeouts,Over,Over 4.5 K,5.233003218129923,4.5,0.7330032181299231,0.5993973859391968,0.5993973859391968,32.8,Probable starter · model vs reference 4.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Byron Buxton,Minnesota Twins at Detroit Tigers,6:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.9614146938092265,1.5,0.4614146938092265,0.5834495109657991,0.5834495109657991,32.5,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Michael Lorenzen,Chicago Cubs at Colorado Rockies,8:40 PM ET,pitcher_strikeouts,Over,Over 3.5 K,4.164493755635864,3.5,0.6644937556358643,0.5979888796377826,0.5979888796377826,31.4,Probable starter · model vs reference 3.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",NRFI,Houston Astros at Los Angeles Angels,9:38 PM ET,nrfi,NRFI,NRFI,NA,0.5,NA,0.5553957217294869,0.5553957217294869,31.4,Reid Detmers vs Peter Lambert,Probable starters,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Ketel Marte,Arizona Diamondbacks at Miami Marlins,6:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.947790419947853,1.5,0.44779041994785307,0.5796781452862704,0.5796781452862704,31.3,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Ryan Gusto,Arizona Diamondbacks at Miami Marlins,6:40 PM ET,pitcher_strikeouts,Over,Over 3.5 K,4.157396365853172,3.5,0.6573963658531721,0.5966601158467757,0.5966601158467757,31,Probable starter · model vs reference 3.5 K,Probable starter,2026-06-10T17:00:54+0000
