market,selected_model,training_rows,test_rows,training_through,test_start,brier_score,log_loss,mae,rmse,auc
batter_total_bases,Context enhanced,52604,13777,2026-04-21,2026-04-22,0.18775096367867256,0.56786838373816,1.2785186583489143,1.6899418094772438,NA
pitcher_strikeouts,Context enhanced,4108,1115,2026-04-25,2026-04-26,0.16316982360833962,0.4936906128790968,1.7709802547969231,2.2242742316447544,NA
nrfi,Context enhanced,1726,476,2026-04-26,2026-04-27,0.24857296344892604,0.690301144337182,NA,NA,0.5611996517598564
